VehType,n,actual_positive_rate,mean_pred_prob,calibration_error,ci_low,ci_high,significant_miscalibration,global_calib_error,excess_calib_error,excess_significant,excess_ci_low,excess_ci_high
VehType13,120,0.025,0.10293113070459602,0.07793113070459601,0.047658285268834,0.10346434645283505,True,0.27075794768852557,-0.19282681698392956,True,-0.22642447968085186,-0.1661089319767318
VehType8,3545,0.015796897038081806,0.09884849379680331,0.08305159675872151,0.07836865595558826,0.08740276726891791,True,0.27075794768852557,-0.18770635092980406,True,-0.19355355112711173,-0.18216832727108612
VehType9,1922,0.022892819979188347,0.1178482099558602,0.09495538997667186,0.08764251277941411,0.10179054174149876,True,0.27075794768852557,-0.1758025577118537,True,-0.18350324662379272,-0.1687213104175247
VehType12,843,0.060498220640569395,0.2567398668836802,0.19624164624311083,0.17740947505509935,0.21476552334090146,True,0.27075794768852557,-0.07451630144541474,True,-0.09382962297270608,-0.05597955631897963
VehType7,1328,0.06701807228915663,0.26560018288164056,0.19858211059248393,0.18509751015009954,0.21260694002270455,True,0.27075794768852557,-0.07217583709604164,True,-0.0868530384241307,-0.05813426890200642
VehType11,2635,0.08273244781783681,0.3148686562054773,0.2321362083876405,0.22127609460434602,0.24272856041334168,True,0.27075794768852557,-0.038621739300885055,True,-0.049861553767265185,-0.026876916256786874
VehType5,220,0.09090909090909091,0.3724109116467814,0.2815018207376905,0.24176446723568099,0.32479150091543646,True,0.27075794768852557,0.01074387304916491,False,-0.03495179079915364,0.05438764086057852
VehType6,3118,0.10679923027581784,0.39930701398806595,0.2925077837122481,0.2816521834844787,0.3037426057919836,True,0.27075794768852557,0.021749836023722546,True,0.009231648262072314,0.033761938275585365
VehType10,39315,0.1496121073381661,0.4498090558678785,0.3001969485297124,0.29669521081147215,0.3036243369663302,True,0.27075794768852557,0.029439000841186835,True,0.02510751181677895,0.03395637612360945
VehType3,1550,0.18774193548387097,0.5054509849553344,0.3177090494714634,0.2983803441089601,0.33728511024695856,True,0.27075794768852557,0.04695110178293782,True,0.02772028330927986,0.06660036732352513
