VehType,n,actual_positive_rate,predicted_positive_rate,TPR,FPR,mean_pred_prob,small_n_flag
VehType1,7,0.0,0.0,,0.0,0.09734405970568107,True
VehType10,39315,0.1496121073381661,0.500877527661198,0.8480108806528391,0.4398049831005294,0.4498090558678785,False
VehType11,2635,0.08273244781783681,0.22922201138519924,0.5596330275229358,0.1994207695490277,0.3148686562054773,False
VehType12,843,0.060498220640569395,0.12455516014234876,0.2549019607843137,0.11616161616161616,0.2567398668836802,False
VehType13,120,0.025,0.0,0.0,0.0,0.10293113070459602,False
VehType14,30,0.16666666666666666,0.23333333333333334,0.6,0.16,0.33484011380097484,True
VehType15,23,0.30434782608695654,0.5652173913043478,0.7142857142857143,0.5,0.5157795418744083,True
VehType2,47,0.0425531914893617,0.0851063829787234,1.0,0.044444444444444446,0.26295382590218375,True
VehType3,1550,0.18774193548387097,0.5890322580645161,0.8694158075601375,0.5242255758538522,0.5054509849553344,False
VehType4,52,0.038461538461538464,0.0,0.0,0.0,0.20461078439743227,True
VehType5,220,0.09090909090909091,0.15454545454545454,0.2,0.15,0.3724109116467814,False
VehType6,3118,0.10679923027581784,0.3563181526619628,0.6876876876876877,0.31669658886894075,0.39930701398806595,False
VehType7,1328,0.06701807228915663,0.07981927710843373,0.24719101123595505,0.06779661016949153,0.26560018288164056,False
VehType8,3545,0.015796897038081806,0.004795486600846262,0.017857142857142856,0.004585841215247922,0.09884849379680331,False
VehType9,1922,0.022892819979188347,0.0,0.0,0.0,0.1178482099558602,False
