feature,gain
DRIVING_EXPERIENCE,35104.84481573105
VEHICLE_OWNERSHIP,9553.079998016357
VEHICLE_YEAR,6639.7220187187195
CREDIT_SCORE,2510.4270339012146
GENDER,2066.1040754318237
ANNUAL_MILEAGE,1701.9417881965637
PAST_ACCIDENTS,1014.4851727485657
SPEEDING_VIOLATIONS,983.6707239151001
MARRIED,952.4451069831848
DUIS,407.7020902633667
CHILDREN,268.2103924751282
EDUCATION,258.0761499404907
RACE,223.04212188720703
AGE,182.48625802993774
ANNUAL_MILEAGE_was_missing,139.7226209640503
CREDIT_SCORE_was_missing,109.84688091278076
VEHICLE_TYPE,74.91154050827026
INCOME,54.46673059463501
